channum,callsign,xmltvid,serviceid,icon
101,BBC One HD,69387,6941,bbc_one_hd.png
102,BBC Two HD,50059,6940,bbc_two_uk_hd.png
103,ITV HD,50523,20750,itv_uk_hd.png
104,Channel 4 HD,50716,21200,channel4_uk_hd.png
105,Channel 5HD,50717,7750,channel_5_uk.png
107,BBC Four HD,83282,8931,bbc_four_uk_hd.png
108,BBC One Lon,30644,6301,bbc_one_london.png
109,BBC Two Eng,17154,6302,bbc2.png
112,ITV +1,65160,10155,itv_uk_plus1.png
113,ITV2,20630,10070,itv2.png
114,ITV2+1,53059,10165,itv2_plus1.png
115,ITV3,44643,10260,itv3.png
116,ITV3+1,53060,10261,itv3_plus1.png
117,ITV4,48020,10072,itv4.png
118,ITV4+1,61806,10073,itv4_plus1.png
119,ITVBe,90855,10075,itv_uk_be.png
120,ITVBe+1,90645,10139,itv_uk_be_plus1.png
121,Channel 4 +1,56892,8311,channel_4_uk_plus1.png
122,E4,25117,8305,e4_uk.png
123,E4+1,33882,8300,e4_plus1.png
124,More4,47657,8340,channel_4_more4_uk.png
125,More4 +1,47658,9230,channel_4_more4_uk_plus1.png
127,4seven,75804,21250,channel4_seven_uk.png
128,Channel 5+1,77749,7720,channel_5_uk_plus1.png
129,5 USA,52335,7710,channel_5_uk_usa.png
130,5 USA +1,56890,7711,channel_5_uk_usa_plus1.png
131,5STAR,52336,7715,channel_5_uk_star.png
132,5STAR +1,97290,7717,channel_5_uk_star_plus1.png
133,My5,56888,7716,channel_5_uk_my5.png
134,CBS Drama,57827,50903,cbs_drama.png
135,CBS Reality,31756,55214,cbs_reality.png
136,CBS Reality+1,45510,55217,cbs_reality.png
137,CBS Action,73970,55209,cbs_action.png
138,horror channel,42762,55202,horror_channel_uk.png
139,horror ch+1,49608,55218,horror_channel_uk.png
140,BET BlackEntTv,59408,51081,bet_uk.png
141,Spike,97330,7730,spike_tv_us.png
142,True Ent,57747,53375,true_entertainment.png
143,True Crime,99098,52545,true_crime_uk.png
144,Pick,48021,4751,pick_tv.png
145,Pick+1,66716,5107,pick_tv.png
146,Challenge,21793,6031,challenge_tv.png
147,Challenge+1,45283,6026,challenge_tv.png
148,Food Network,44718,52500,food_network_uk.png
149,Food Netwrk+1,55670,52510,food_network_uk.png
150,Travel Channel,17453,54102,travelchannel.png
151,Travel Ch +1,32286,52100,travelchannel.png
152,True Ent +1,89657,53380,true_drama_uk.png
153,tru TV,97331,53305,tru_tv_uk.png
155,PBS America,73510,52505,pbs_america.png
156,YourTV,97674,52540,your_tv_uk.png
157,Dave,24305,6506,dave_uktv.png
158,Drama,82575,6522,drama_uktv.png
159,YESTERDAY,31783,6505,yesterday_uktv.png
160,Really,45828,6523,really_uktv.png
162,BLAZE,101972,50350,blaze_uk.png
164,Community,24677,4753,community_channel.png
165,Forces TV,87987,6033,forces_tv_uk.png
166,Home,21257,6501,home_uktv.png
167,QUEST,62391,6213,quest_us.png
169,Quest Red,102471,6214,quest_us_red.png
200,BBC NEWS HD,83285,8921,bbc_news_hd.png
201,BBC Parliament,20685,10307,bbcparliament.png
202,Sky News,16234,4706,sky_news.png
203,Al Jazeera HD,97267,55415,al_jazeera_english_hd.png
204,Euronews,82432,54224,euronews.png
205,FRANCE Eng,60562,52570,france24_english.png
206,RT HD,98986,53148,rt_ru_english.png
207,CNN HD,91065,50290,cnn_hd.png
208,Bloomberg HD,103002,55392,bloomberg.png
209,NHK World HD,62096,53147,nhk_world.png
210,CNBC,16230,50882,cnbc_uk.png
211,CGTN,29114,54216,cctv_news_english.png
212,BBC NEWS,19037,10358,bbc_news.png
213,CHSTV,45926,50300,channel_s.png
214,Arirang TV HD,28452,53150,arirang_kr.png
250,FrontRunner,35571,52006,front_runner_tv_uk.png
251,Bike,97856,52290,bike_channel_uk.png
300,Film4,21494,9220,film_4_uk.png
301,Film4 +1,25630,9225,film_4_uk_plus1.png
302,True Christmas,44717,53320,true_movies.png
303,TrueChrstms+1,50011,53325,true_movies2.png
304,movies4men,46306,51116,movies_4_men.png
305,mov4men+1,59406,51118,movies_4_men.png
306,TalkingPictures,99024,22606,talking_pictures_tv_uk.png
500,Chart Show TV,31572,53365,chart_show.png
501,The Vault,32675,53355,the_vault.png
502,Chartshow Hits,31572,53315,dance_nation.png
504,Starz TV,45514,53335,starz.png
505,Vintage TV,68877,52180,vintage_tv.png
508,Kiss,25151,52194,kiss_uk.png
509,4Music,31786,9240,channel_4_music.png
510,Magic,25607,52195,magic_tv_uk.png
511,VIVA,31787,7009,viva_uk.png
600,CBBC HD,83281,6952,bbc_cbbc_hd.png
601,CBeebies HD,83283,8932,bbc_cbeebies_uk_hd.png
602,CITV,49452,10071,citv.png
603,POP,33638,53340,pop_uk.png
604,POP Max,56896,53350,kix_uk.png
605,Tiny Pop,34087,53330,tiny_pop.png
606,POP+1,3033638,53370,pop_uk.png
607,CBBC,29324,10352,cbbc.png
608,CBeebies,29325,6338,bbc_cbeebies_uk.png
609,Tiny Pop +1,56423,53345,tiny_pop.png
690,Inspiration TV,46219,50390,inspiration_tv_us.png
691,DAYSTAR HD,32285,55410,daystar_tv_network.png
692,revelation,32561,52127,revelation_tv.png
694,GOD Channel,26215,52126,godchannel.png
695,SonLife,42745,53560,sonlife_broadcasting_network_international.png
696,TBN UK,97332,52124,tbn_europe.png
981,BBC RB1,81004,6390,bbc_red_button_uk.png
